RS158	WCS134	WCS317	WCS417	CHA0	WCS358
OG0001766	FBBKCKAA_02035	KMPKMMIG_03480	ODAKOFOI_02844	NLBLAPBN_05049	AGNHPPFD_05546	JLCECJFP_04199
OG0001767	FBBKCKAA_02036	KMPKMMIG_03479	ODAKOFOI_02843	NLBLAPBN_05050	AGNHPPFD_05547	JLCECJFP_04200
OG0001768	FBBKCKAA_02037	KMPKMMIG_03478	ODAKOFOI_02842	NLBLAPBN_05051	AGNHPPFD_05548	JLCECJFP_04201
OG0001769	FBBKCKAA_02038	KMPKMMIG_03477	ODAKOFOI_02841	NLBLAPBN_05052	AGNHPPFD_05549	JLCECJFP_04202
OG0001770	FBBKCKAA_02039	KMPKMMIG_03476	ODAKOFOI_02840	NLBLAPBN_05053	AGNHPPFD_05550	JLCECJFP_04203
OG0001771	FBBKCKAA_02040	KMPKMMIG_03475	ODAKOFOI_02839	NLBLAPBN_05054	AGNHPPFD_05551	JLCECJFP_04204
OG0001772	FBBKCKAA_02041	KMPKMMIG_03474	ODAKOFOI_02838	NLBLAPBN_05055	AGNHPPFD_05552	JLCECJFP_04205
OG0001773	FBBKCKAA_02042	KMPKMMIG_03473	ODAKOFOI_02837	NLBLAPBN_05056	AGNHPPFD_05553	JLCECJFP_04206
OG0001774	FBBKCKAA_02043	KMPKMMIG_03472	ODAKOFOI_02836	NLBLAPBN_05057	AGNHPPFD_05554	JLCECJFP_04207
OG0001775	FBBKCKAA_02044	KMPKMMIG_03471	ODAKOFOI_02835	NLBLAPBN_05058	AGNHPPFD_05555	JLCECJFP_04208
OG0001776	FBBKCKAA_02045	KMPKMMIG_03470	ODAKOFOI_02834	NLBLAPBN_05059	AGNHPPFD_05556	JLCECJFP_04209
OG0001777	FBBKCKAA_02046	KMPKMMIG_03469	ODAKOFOI_02833	NLBLAPBN_05060	AGNHPPFD_05557	JLCECJFP_04210
OG0001778	FBBKCKAA_02047	KMPKMMIG_03468	ODAKOFOI_02832	NLBLAPBN_05061	AGNHPPFD_05558	JLCECJFP_04211
OG0001779	FBBKCKAA_02048	KMPKMMIG_03467	ODAKOFOI_02831	NLBLAPBN_05062	AGNHPPFD_05559	JLCECJFP_04212
OG0001780	FBBKCKAA_02051	KMPKMMIG_03464	ODAKOFOI_02828	NLBLAPBN_05065	AGNHPPFD_05562	JLCECJFP_04215
OG0001781	FBBKCKAA_02052	KMPKMMIG_03463	ODAKOFOI_02827	NLBLAPBN_05066	AGNHPPFD_05563	JLCECJFP_04216
OG0001782	FBBKCKAA_02053	KMPKMMIG_03462	ODAKOFOI_02826	NLBLAPBN_05067	AGNHPPFD_05564	JLCECJFP_04217
OG0001783	FBBKCKAA_02054	KMPKMMIG_03461	ODAKOFOI_02825	NLBLAPBN_05068	AGNHPPFD_05565	JLCECJFP_04218
OG0001784	FBBKCKAA_02055	KMPKMMIG_03460	ODAKOFOI_02824	NLBLAPBN_05069	AGNHPPFD_05566	JLCECJFP_04219
OG0001785	FBBKCKAA_02056	KMPKMMIG_03459	ODAKOFOI_02823	NLBLAPBN_05070	AGNHPPFD_05567	JLCECJFP_04220
OG0001786	FBBKCKAA_02057	KMPKMMIG_03458	ODAKOFOI_02822	NLBLAPBN_05071	AGNHPPFD_05568	JLCECJFP_04221
OG0001787	FBBKCKAA_02058	KMPKMMIG_03457	ODAKOFOI_02821	NLBLAPBN_05072	AGNHPPFD_05569	JLCECJFP_04222
OG0001788	FBBKCKAA_02059	KMPKMMIG_03456	ODAKOFOI_02820	NLBLAPBN_05073	AGNHPPFD_05570	JLCECJFP_04223
OG0001789	FBBKCKAA_02066	KMPKMMIG_03449	ODAKOFOI_02814	NLBLAPBN_05079	AGNHPPFD_05577	JLCECJFP_04230
OG0001790	FBBKCKAA_02068	KMPKMMIG_03447	ODAKOFOI_02812	NLBLAPBN_05081	AGNHPPFD_05578	JLCECJFP_04232
OG0001791	FBBKCKAA_04699	KMPKMMIG_04580	ODAKOFOI_04249	NLBLAPBN_05083	AGNHPPFD_05585	JLCECJFP_05053
OG0001792	FBBKCKAA_04698	KMPKMMIG_04581	ODAKOFOI_04248	NLBLAPBN_05084	AGNHPPFD_05586	JLCECJFP_05052
OG0001793	FBBKCKAA_04697	KMPKMMIG_04582	ODAKOFOI_04247	NLBLAPBN_05085	AGNHPPFD_05587	JLCECJFP_05051
OG0001794	FBBKCKAA_04696	KMPKMMIG_04583	ODAKOFOI_04246	NLBLAPBN_05086	AGNHPPFD_05588	JLCECJFP_05050
OG0001795	FBBKCKAA_04695	KMPKMMIG_04584	ODAKOFOI_04245	NLBLAPBN_05087	AGNHPPFD_05589	JLCECJFP_05049
OG0001796	FBBKCKAA_04692	KMPKMMIG_04588	ODAKOFOI_04241	NLBLAPBN_05091	AGNHPPFD_05593	JLCECJFP_05046
OG0001797	FBBKCKAA_04691	KMPKMMIG_04589	ODAKOFOI_04239	NLBLAPBN_05092	AGNHPPFD_05594	JLCECJFP_05045
OG0001798	FBBKCKAA_04688	KMPKMMIG_04592	ODAKOFOI_04236	NLBLAPBN_05094	AGNHPPFD_05596	JLCECJFP_05042
OG0001799	FBBKCKAA_04680	KMPKMMIG_04600	ODAKOFOI_04229	NLBLAPBN_05101	AGNHPPFD_05608	JLCECJFP_05034
OG0001800	FBBKCKAA_02986	KMPKMMIG_01515	ODAKOFOI_04217	NLBLAPBN_05113	AGNHPPFD_05623	JLCECJFP_03153
OG0001801	FBBKCKAA_02987	KMPKMMIG_01514	ODAKOFOI_04216	NLBLAPBN_05114	AGNHPPFD_05624	JLCECJFP_03152
OG0001802	FBBKCKAA_02988	KMPKMMIG_01513	ODAKOFOI_04215	NLBLAPBN_05115	AGNHPPFD_05625	JLCECJFP_03151
OG0001803	FBBKCKAA_02989	KMPKMMIG_01512	ODAKOFOI_04214	NLBLAPBN_05116	AGNHPPFD_05626	JLCECJFP_03150
OG0001804	FBBKCKAA_02990	KMPKMMIG_01511	ODAKOFOI_04213	NLBLAPBN_05117	AGNHPPFD_05627	JLCECJFP_03149
OG0001805	FBBKCKAA_02991	KMPKMMIG_01510	ODAKOFOI_04212	NLBLAPBN_05118	AGNHPPFD_05628	JLCECJFP_03148
OG0001806	FBBKCKAA_02996	KMPKMMIG_01505	ODAKOFOI_04207	NLBLAPBN_05123	AGNHPPFD_05633	JLCECJFP_03143
OG0001807	FBBKCKAA_02998	KMPKMMIG_01503	ODAKOFOI_04205	NLBLAPBN_05125	AGNHPPFD_05635	JLCECJFP_03141
OG0001808	FBBKCKAA_03000	KMPKMMIG_01501	ODAKOFOI_04203	NLBLAPBN_05127	AGNHPPFD_05637	JLCECJFP_03139
OG0001809	FBBKCKAA_03001	KMPKMMIG_01500	ODAKOFOI_04202	NLBLAPBN_05128	AGNHPPFD_05638	JLCECJFP_03138
OG0001810	FBBKCKAA_03003	KMPKMMIG_01498	ODAKOFOI_04200	NLBLAPBN_05130	AGNHPPFD_05640	JLCECJFP_03136
OG0001811	FBBKCKAA_03019	KMPKMMIG_01480	ODAKOFOI_04187	NLBLAPBN_05143	AGNHPPFD_05655	JLCECJFP_03122
OG0001812	FBBKCKAA_03028	KMPKMMIG_01467	ODAKOFOI_04175	NLBLAPBN_05152	AGNHPPFD_05667	JLCECJFP_03113
OG0001813	FBBKCKAA_03030	KMPKMMIG_01465	ODAKOFOI_04173	NLBLAPBN_05154	AGNHPPFD_05669	JLCECJFP_03111
OG0001814	FBBKCKAA_03031	KMPKMMIG_01464	ODAKOFOI_04172	NLBLAPBN_05155	AGNHPPFD_05670	JLCECJFP_03110
OG0001815	FBBKCKAA_03032	KMPKMMIG_01463	ODAKOFOI_04171	NLBLAPBN_05156	AGNHPPFD_05671	JLCECJFP_03109
OG0001816	FBBKCKAA_03033	KMPKMMIG_01462	ODAKOFOI_04170	NLBLAPBN_05157	AGNHPPFD_05672	JLCECJFP_03108
OG0001817	FBBKCKAA_03035	KMPKMMIG_01459	ODAKOFOI_04167	NLBLAPBN_05160	AGNHPPFD_05675	JLCECJFP_03106
OG0001818	FBBKCKAA_03036	KMPKMMIG_01458	ODAKOFOI_04166	NLBLAPBN_05161	AGNHPPFD_05676	JLCECJFP_03105
OG0001819	FBBKCKAA_03478	KMPKMMIG_01451	ODAKOFOI_04158	NLBLAPBN_05171	AGNHPPFD_05684	JLCECJFP_03097
OG0001820	FBBKCKAA_03480	KMPKMMIG_01449	ODAKOFOI_04156	NLBLAPBN_05173	AGNHPPFD_05686	JLCECJFP_03095
OG0001821	FBBKCKAA_03499	KMPKMMIG_01443	ODAKOFOI_04150	NLBLAPBN_05184	AGNHPPFD_05693	JLCECJFP_05282
OG0001822	FBBKCKAA_03500	KMPKMMIG_01442	ODAKOFOI_04148	NLBLAPBN_05185	AGNHPPFD_05694	JLCECJFP_05283
OG0001823	FBBKCKAA_03512	KMPKMMIG_01430	ODAKOFOI_05380	NLBLAPBN_05196	AGNHPPFD_05713	JLCECJFP_05141
OG0001824	FBBKCKAA_03518	KMPKMMIG_01427	ODAKOFOI_05384	NLBLAPBN_05199	AGNHPPFD_05717	JLCECJFP_02438
OG0001825	FBBKCKAA_03975	KMPKMMIG_04963	ODAKOFOI_04860	NLBLAPBN_05218	AGNHPPFD_05744	JLCECJFP_02458
OG0001826	FBBKCKAA_03977	KMPKMMIG_04961	ODAKOFOI_04858	NLBLAPBN_05220	AGNHPPFD_05746	JLCECJFP_02460
OG0001827	FBBKCKAA_00231	KMPKMMIG_04956	ODAKOFOI_04855	NLBLAPBN_05224	AGNHPPFD_05750	JLCECJFP_00999
OG0001828	FBBKCKAA_00343	KMPKMMIG_04954	ODAKOFOI_04853	NLBLAPBN_05226	AGNHPPFD_05752	JLCECJFP_04324
OG0001829	FBBKCKAA_00342	KMPKMMIG_04953	ODAKOFOI_04851	NLBLAPBN_05228	AGNHPPFD_05753	JLCECJFP_04325
OG0001830	FBBKCKAA_00341	KMPKMMIG_04952	ODAKOFOI_04850	NLBLAPBN_05229	AGNHPPFD_05754	JLCECJFP_04326
OG0001831	FBBKCKAA_00340	KMPKMMIG_04951	ODAKOFOI_04849	NLBLAPBN_05230	AGNHPPFD_05755	JLCECJFP_04327
OG0001832	FBBKCKAA_00339	KMPKMMIG_02910	ODAKOFOI_04848	NLBLAPBN_05231	AGNHPPFD_05756	JLCECJFP_04328
OG0001833	FBBKCKAA_00338	KMPKMMIG_02911	ODAKOFOI_04847	NLBLAPBN_05232	AGNHPPFD_05757	JLCECJFP_04329
OG0001834	FBBKCKAA_00335	KMPKMMIG_02915	ODAKOFOI_04844	NLBLAPBN_05235	AGNHPPFD_05760	JLCECJFP_04332
OG0001835	FBBKCKAA_00333	KMPKMMIG_02923	ODAKOFOI_04841	NLBLAPBN_05238	AGNHPPFD_05763	JLCECJFP_04334
OG0001836	FBBKCKAA_00330	KMPKMMIG_02926	ODAKOFOI_04838	NLBLAPBN_05241	AGNHPPFD_05766	JLCECJFP_04337
OG0001837	FBBKCKAA_00328	KMPKMMIG_02928	ODAKOFOI_04836	NLBLAPBN_05243	AGNHPPFD_05768	JLCECJFP_04339
OG0001838	FBBKCKAA_00326	KMPKMMIG_02930	ODAKOFOI_04834	NLBLAPBN_05245	AGNHPPFD_05770	JLCECJFP_04341
OG0001839	FBBKCKAA_00317	KMPKMMIG_02941	ODAKOFOI_04823	NLBLAPBN_05256	AGNHPPFD_05780	JLCECJFP_04350
OG0001840	FBBKCKAA_00309	KMPKMMIG_02949	ODAKOFOI_05294	NLBLAPBN_05263	AGNHPPFD_05786	JLCECJFP_04359
OG0001841	FBBKCKAA_00308	KMPKMMIG_02950	ODAKOFOI_05293	NLBLAPBN_05264	AGNHPPFD_05787	JLCECJFP_01077
OG0001842	FBBKCKAA_00307	KMPKMMIG_02951	ODAKOFOI_05288	NLBLAPBN_05269	AGNHPPFD_05792	JLCECJFP_01076
OG0001843	FBBKCKAA_00306	KMPKMMIG_02963	ODAKOFOI_05277	NLBLAPBN_05284	AGNHPPFD_05804	JLCECJFP_01075
OG0001844	FBBKCKAA_00304	KMPKMMIG_02965	ODAKOFOI_05275	NLBLAPBN_05286	AGNHPPFD_05806	JLCECJFP_01073
OG0001845	FBBKCKAA_00303	KMPKMMIG_02966	ODAKOFOI_03044	NLBLAPBN_05287	AGNHPPFD_05807	JLCECJFP_01072
OG0001846	FBBKCKAA_00301	KMPKMMIG_02968	ODAKOFOI_03046	NLBLAPBN_05289	AGNHPPFD_05809	JLCECJFP_01070
OG0001847	FBBKCKAA_00300	KMPKMMIG_02969	ODAKOFOI_03048	NLBLAPBN_05290	AGNHPPFD_05810	JLCECJFP_01069
OG0001848	FBBKCKAA_00299	KMPKMMIG_02970	ODAKOFOI_03049	NLBLAPBN_05291	AGNHPPFD_05811	JLCECJFP_01068
OG0001849	FBBKCKAA_00298	KMPKMMIG_02971	ODAKOFOI_03050	NLBLAPBN_05292	AGNHPPFD_05812	JLCECJFP_01067
OG0001850	FBBKCKAA_00297	KMPKMMIG_02972	ODAKOFOI_03051	NLBLAPBN_05293	AGNHPPFD_05813	JLCECJFP_01066
OG0001851	FBBKCKAA_00295	KMPKMMIG_02974	ODAKOFOI_03053	NLBLAPBN_05295	AGNHPPFD_05815	JLCECJFP_01064
OG0001852	FBBKCKAA_01443	KMPKMMIG_02977	ODAKOFOI_03056	NLBLAPBN_05298	AGNHPPFD_05818	JLCECJFP_00971
OG0001853	FBBKCKAA_01441	KMPKMMIG_05684	ODAKOFOI_03058	NLBLAPBN_05300	AGNHPPFD_05820	JLCECJFP_00969
OG0001854	FBBKCKAA_01438	KMPKMMIG_05680	ODAKOFOI_03061	NLBLAPBN_05303	AGNHPPFD_05824	JLCECJFP_00966
OG0001855	FBBKCKAA_01435	KMPKMMIG_05677	ODAKOFOI_03064	NLBLAPBN_05306	AGNHPPFD_05827	JLCECJFP_00963
OG0001856	FBBKCKAA_01432	KMPKMMIG_04792	ODAKOFOI_03067	NLBLAPBN_05309	AGNHPPFD_05831	JLCECJFP_00960
OG0001857	FBBKCKAA_01431	KMPKMMIG_04793	ODAKOFOI_03068	NLBLAPBN_05310	AGNHPPFD_05832	JLCECJFP_00959
OG0001858	FBBKCKAA_01430	KMPKMMIG_04794	ODAKOFOI_03069	NLBLAPBN_05311	AGNHPPFD_05833	JLCECJFP_00958
OG0001859	FBBKCKAA_01428	KMPKMMIG_04796	ODAKOFOI_03071	NLBLAPBN_05313	AGNHPPFD_05835	JLCECJFP_00956
OG0001860	FBBKCKAA_01427	KMPKMMIG_04797	ODAKOFOI_03072	NLBLAPBN_05314	AGNHPPFD_05836	JLCECJFP_00955
OG0001861	FBBKCKAA_01426	KMPKMMIG_04798	ODAKOFOI_03073	NLBLAPBN_05315	AGNHPPFD_05837	JLCECJFP_00954
OG0001862	FBBKCKAA_01425	KMPKMMIG_04799	ODAKOFOI_03074	NLBLAPBN_05316	AGNHPPFD_05838	JLCECJFP_00953
OG0001863	FBBKCKAA_01424	KMPKMMIG_04800	ODAKOFOI_03075	NLBLAPBN_05317	AGNHPPFD_05839	JLCECJFP_00952
OG0001864	FBBKCKAA_01421	KMPKMMIG_04803	ODAKOFOI_03078	NLBLAPBN_05320	AGNHPPFD_05843	JLCECJFP_00949
OG0001865	FBBKCKAA_01418	KMPKMMIG_04804	ODAKOFOI_03079	NLBLAPBN_05321	AGNHPPFD_05844	JLCECJFP_00947
OG0001866	FBBKCKAA_01417	KMPKMMIG_04806	ODAKOFOI_03081	NLBLAPBN_05322	AGNHPPFD_05846	JLCECJFP_00946
OG0001867	FBBKCKAA_01412	KMPKMMIG_04811	ODAKOFOI_03086	NLBLAPBN_05327	AGNHPPFD_05851	JLCECJFP_00941
OG0001868	FBBKCKAA_01411	KMPKMMIG_04812	ODAKOFOI_03087	NLBLAPBN_05328	AGNHPPFD_05852	JLCECJFP_00940
OG0001869	FBBKCKAA_01410	KMPKMMIG_04814	ODAKOFOI_03089	NLBLAPBN_05329	AGNHPPFD_05853	JLCECJFP_00939
OG0001870	FBBKCKAA_01407	KMPKMMIG_04817	ODAKOFOI_03091	NLBLAPBN_05331	AGNHPPFD_05855	JLCECJFP_00937
OG0001871	FBBKCKAA_01405	KMPKMMIG_04821	ODAKOFOI_03096	NLBLAPBN_05334	AGNHPPFD_05860	JLCECJFP_00935
OG0001872	FBBKCKAA_01394	KMPKMMIG_03549	ODAKOFOI_03108	NLBLAPBN_05347	AGNHPPFD_05875	JLCECJFP_00923
OG0001873	FBBKCKAA_01391	KMPKMMIG_03546	ODAKOFOI_03112	NLBLAPBN_05350	AGNHPPFD_05879	JLCECJFP_00920
OG0001874	FBBKCKAA_01388	KMPKMMIG_03543	ODAKOFOI_03115	NLBLAPBN_05353	AGNHPPFD_05882	JLCECJFP_00917
OG0001875	FBBKCKAA_01387	KMPKMMIG_03542	ODAKOFOI_03116	NLBLAPBN_05354	AGNHPPFD_05883	JLCECJFP_00916
OG0001876	FBBKCKAA_01383	KMPKMMIG_03538	ODAKOFOI_03120	NLBLAPBN_05359	AGNHPPFD_05889	JLCECJFP_00912
OG0001877	FBBKCKAA_01379	KMPKMMIG_03534	ODAKOFOI_03124	NLBLAPBN_05363	AGNHPPFD_05893	JLCECJFP_00908
OG0001878	FBBKCKAA_01378	KMPKMMIG_03533	ODAKOFOI_03125	NLBLAPBN_05364	AGNHPPFD_05894	JLCECJFP_00907
OG0001879	FBBKCKAA_01338	KMPKMMIG_05582	ODAKOFOI_03154	NLBLAPBN_05396	AGNHPPFD_05925	JLCECJFP_00272
OG0001880	FBBKCKAA_05048	KMPKMMIG_02057	ODAKOFOI_03158	NLBLAPBN_05400	AGNHPPFD_05929	JLCECJFP_00277
OG0001881	FBBKCKAA_04965	KMPKMMIG_02062	ODAKOFOI_03161	NLBLAPBN_05406	AGNHPPFD_05945	JLCECJFP_00280
OG0001882	FBBKCKAA_04964	KMPKMMIG_02063	ODAKOFOI_03162	NLBLAPBN_05407	AGNHPPFD_05946	JLCECJFP_00281
OG0001883	FBBKCKAA_04959	KMPKMMIG_02069	ODAKOFOI_03166	NLBLAPBN_05412	AGNHPPFD_05951	JLCECJFP_00286
OG0001884	FBBKCKAA_04957	KMPKMMIG_02071	ODAKOFOI_03168	NLBLAPBN_05414	AGNHPPFD_05953	JLCECJFP_00288
OG0001885	FBBKCKAA_04955	KMPKMMIG_02073	ODAKOFOI_03171	NLBLAPBN_05416	AGNHPPFD_05955	JLCECJFP_00290
OG0001886	FBBKCKAA_04954	KMPKMMIG_02074	ODAKOFOI_03172	NLBLAPBN_05417	AGNHPPFD_05956	JLCECJFP_00291
OG0001887	FBBKCKAA_04952	KMPKMMIG_02076	ODAKOFOI_03174	NLBLAPBN_05419	AGNHPPFD_05958	JLCECJFP_00293
OG0001888	FBBKCKAA_04769	KMPKMMIG_02085	ODAKOFOI_03185	NLBLAPBN_05430	AGNHPPFD_05967	JLCECJFP_00304
OG0001889	FBBKCKAA_04771	KMPKMMIG_02092	ODAKOFOI_03192	NLBLAPBN_05441	AGNHPPFD_05969	JLCECJFP_00306
OG0001890	FBBKCKAA_04772	KMPKMMIG_02093	ODAKOFOI_03193	NLBLAPBN_05443	AGNHPPFD_05970	JLCECJFP_00307
OG0001891	FBBKCKAA_01860	KMPKMMIG_02106	ODAKOFOI_03206	NLBLAPBN_05452	AGNHPPFD_05979	JLCECJFP_04045
OG0001892	FBBKCKAA_01856	KMPKMMIG_02111	ODAKOFOI_01836	NLBLAPBN_05457	AGNHPPFD_05984	JLCECJFP_04040
OG0001893	FBBKCKAA_01855	KMPKMMIG_02112	ODAKOFOI_01837	NLBLAPBN_05458	AGNHPPFD_05985	JLCECJFP_04039
OG0001894	FBBKCKAA_01852	KMPKMMIG_02115	ODAKOFOI_01840	NLBLAPBN_05461	AGNHPPFD_05988	JLCECJFP_04036
OG0001895	FBBKCKAA_01851	KMPKMMIG_02116	ODAKOFOI_01841	NLBLAPBN_05462	AGNHPPFD_05989	JLCECJFP_04034
OG0001896	FBBKCKAA_04871	KMPKMMIG_02122	ODAKOFOI_01847	NLBLAPBN_05468	AGNHPPFD_05995	JLCECJFP_00313
OG0001897	FBBKCKAA_04867	KMPKMMIG_02125	ODAKOFOI_01850	NLBLAPBN_05471	AGNHPPFD_05998	JLCECJFP_00317
OG0001898	FBBKCKAA_04865	KMPKMMIG_02127	ODAKOFOI_01852	NLBLAPBN_05473	AGNHPPFD_06000	JLCECJFP_00319
OG0001899	FBBKCKAA_04864	KMPKMMIG_02128	ODAKOFOI_01853	NLBLAPBN_05474	AGNHPPFD_06001	JLCECJFP_00320
OG0001900	FBBKCKAA_04861	KMPKMMIG_02132	ODAKOFOI_01857	NLBLAPBN_05478	AGNHPPFD_06005	JLCECJFP_00323
OG0001901	FBBKCKAA_04859	KMPKMMIG_02134	ODAKOFOI_01859	NLBLAPBN_05480	AGNHPPFD_06007	JLCECJFP_00325
OG0001902	FBBKCKAA_00724	KMPKMMIG_05328	ODAKOFOI_01868	NLBLAPBN_05491	AGNHPPFD_06020	JLCECJFP_00352
OG0001903	FBBKCKAA_00729	KMPKMMIG_05322	ODAKOFOI_01874	NLBLAPBN_05497	AGNHPPFD_06026	JLCECJFP_00357
OG0001904	FBBKCKAA_00735	KMPKMMIG_05316	ODAKOFOI_01880	NLBLAPBN_05503	AGNHPPFD_06032	JLCECJFP_00363
OG0001905	FBBKCKAA_00738	KMPKMMIG_00298	ODAKOFOI_01884	NLBLAPBN_05506	AGNHPPFD_06035	JLCECJFP_00367
OG0001906	FBBKCKAA_00739	KMPKMMIG_00297	ODAKOFOI_01885	NLBLAPBN_05507	AGNHPPFD_06036	JLCECJFP_00368
OG0001907	FBBKCKAA_00742	KMPKMMIG_00294	ODAKOFOI_01888	NLBLAPBN_05510	AGNHPPFD_06039	JLCECJFP_00371
OG0001908	FBBKCKAA_00743	KMPKMMIG_00293	ODAKOFOI_01889	NLBLAPBN_05511	AGNHPPFD_06040	JLCECJFP_00372
OG0001909	FBBKCKAA_00744	KMPKMMIG_00292	ODAKOFOI_01890	NLBLAPBN_05513	AGNHPPFD_06041	JLCECJFP_00373
OG0001910	FBBKCKAA_00745	KMPKMMIG_00291	ODAKOFOI_01891	NLBLAPBN_05514	AGNHPPFD_06042	JLCECJFP_00374
OG0001911	FBBKCKAA_00746	KMPKMMIG_00290	ODAKOFOI_01892	NLBLAPBN_05515	AGNHPPFD_06043	JLCECJFP_00378
OG0001912	FBBKCKAA_00747	KMPKMMIG_00289	ODAKOFOI_01893	NLBLAPBN_05516	AGNHPPFD_06044	JLCECJFP_00379
OG0001913	FBBKCKAA_00749	KMPKMMIG_00286	ODAKOFOI_01895	NLBLAPBN_05518	AGNHPPFD_06046	JLCECJFP_00380
OG0001914	FBBKCKAA_00750	KMPKMMIG_00285	ODAKOFOI_01896	NLBLAPBN_05519	AGNHPPFD_06047	JLCECJFP_00381
OG0001915	FBBKCKAA_00751	KMPKMMIG_00284	ODAKOFOI_01897	NLBLAPBN_05520	AGNHPPFD_06048	JLCECJFP_00382
OG0001916	FBBKCKAA_00756	KMPKMMIG_00283	ODAKOFOI_01898	NLBLAPBN_05521	AGNHPPFD_06049	JLCECJFP_00387
OG0001917	FBBKCKAA_00757	KMPKMMIG_00282	ODAKOFOI_01899	NLBLAPBN_05522	AGNHPPFD_06050	JLCECJFP_00388
OG0001918	FBBKCKAA_00759	KMPKMMIG_00280	ODAKOFOI_01901	NLBLAPBN_05524	AGNHPPFD_06052	JLCECJFP_00390
OG0001919	FBBKCKAA_00760	KMPKMMIG_00279	ODAKOFOI_01902	NLBLAPBN_05525	AGNHPPFD_06053	JLCECJFP_00391
OG0001920	FBBKCKAA_00762	KMPKMMIG_00277	ODAKOFOI_01904	NLBLAPBN_05527	AGNHPPFD_06055	JLCECJFP_00393
OG0001921	FBBKCKAA_00764	KMPKMMIG_00275	ODAKOFOI_01906	NLBLAPBN_05529	AGNHPPFD_06057	JLCECJFP_00395
OG0001922	FBBKCKAA_00765	KMPKMMIG_00274	ODAKOFOI_01907	NLBLAPBN_05530	AGNHPPFD_06058	JLCECJFP_00396
OG0001923	FBBKCKAA_03868	KMPKMMIG_04313	ODAKOFOI_00840, ODAKOFOI_03487	NLBLAPBN_05134		JLCECJFP_04437
OG0001924	FBBKCKAA_01691	KMPKMMIG_05043	ODAKOFOI_03426	NLBLAPBN_04010	AGNHPPFD_01609	JLCECJFP_01325
OG0001925	FBBKCKAA_00768	KMPKMMIG_00224	ODAKOFOI_01912	NLBLAPBN_05557	AGNHPPFD_06089	JLCECJFP_00399
OG0001926	FBBKCKAA_00771	KMPKMMIG_00221	ODAKOFOI_01915	NLBLAPBN_05560	AGNHPPFD_06092	JLCECJFP_00402
OG0001927	FBBKCKAA_00778	KMPKMMIG_00214	ODAKOFOI_01922	NLBLAPBN_05567	AGNHPPFD_06101	JLCECJFP_00409
OG0001928	FBBKCKAA_00781	KMPKMMIG_00211	ODAKOFOI_01925	NLBLAPBN_05570	AGNHPPFD_06104	JLCECJFP_00412
OG0001929	FBBKCKAA_00783	KMPKMMIG_00209	ODAKOFOI_01927	NLBLAPBN_05572	AGNHPPFD_06106	JLCECJFP_00414
OG0001930	FBBKCKAA_00785	KMPKMMIG_00206	ODAKOFOI_01929	NLBLAPBN_05574	AGNHPPFD_06108	JLCECJFP_00416
OG0001931	FBBKCKAA_00786	KMPKMMIG_00205	ODAKOFOI_01930	NLBLAPBN_05575	AGNHPPFD_06109	JLCECJFP_00417
OG0001932	FBBKCKAA_00787	KMPKMMIG_00204	ODAKOFOI_01931	NLBLAPBN_05576	AGNHPPFD_06110	JLCECJFP_00418
OG0001933	FBBKCKAA_00792	KMPKMMIG_00199	ODAKOFOI_01937	NLBLAPBN_05581	AGNHPPFD_06115	JLCECJFP_00423
OG0001934	FBBKCKAA_00798	KMPKMMIG_00191	ODAKOFOI_01945	NLBLAPBN_05590	AGNHPPFD_06137	JLCECJFP_00429
OG0001935	FBBKCKAA_00799	KMPKMMIG_00190	ODAKOFOI_01946	NLBLAPBN_05591	AGNHPPFD_06138	JLCECJFP_00430
OG0001936	FBBKCKAA_00802	KMPKMMIG_00183	ODAKOFOI_01948	NLBLAPBN_05597	AGNHPPFD_06144	JLCECJFP_00434
OG0001937	FBBKCKAA_00803	KMPKMMIG_00182	ODAKOFOI_01949	NLBLAPBN_05598	AGNHPPFD_06145	JLCECJFP_00435
OG0001938	FBBKCKAA_00805	KMPKMMIG_00180	ODAKOFOI_01951	NLBLAPBN_05600	AGNHPPFD_06147	JLCECJFP_00437
OG0001939	FBBKCKAA_00806	KMPKMMIG_00179	ODAKOFOI_01952	NLBLAPBN_05601	AGNHPPFD_06148	JLCECJFP_00438
OG0001940	FBBKCKAA_00810	KMPKMMIG_00175	ODAKOFOI_01956	NLBLAPBN_05605	AGNHPPFD_06152	JLCECJFP_00442
OG0001941	FBBKCKAA_00811	KMPKMMIG_00174	ODAKOFOI_01957	NLBLAPBN_05606	AGNHPPFD_06153	JLCECJFP_00443
OG0001942	FBBKCKAA_00812	KMPKMMIG_00173	ODAKOFOI_01958	NLBLAPBN_05607	AGNHPPFD_06154	JLCECJFP_00444
OG0001943	FBBKCKAA_00817	KMPKMMIG_00169	ODAKOFOI_01962	NLBLAPBN_05611	AGNHPPFD_06159	JLCECJFP_00449
OG0001944	FBBKCKAA_00820	KMPKMMIG_00163	ODAKOFOI_01966	NLBLAPBN_05617	AGNHPPFD_06165	JLCECJFP_00453
OG0001945	FBBKCKAA_01153	KMPKMMIG_00132	ODAKOFOI_03971	NLBLAPBN_03565	AGNHPPFD_06193	JLCECJFP_02058
OG0001946	FBBKCKAA_00857	KMPKMMIG_00099	ODAKOFOI_02019	NLBLAPBN_00008	AGNHPPFD_00013	JLCECJFP_03688
